timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1978489528,0.0563096,0.372018,-0.0279854
1978499749,0.0563096,0.372018,-0.0279854
1978510943,0.063384,0.332602,-0.0267563
1978519769,0.088813,0.413773,-0.00162642
1978530171,0.0499086,0.364559,-0.0417768
1978539757,0.0905413,0.44785,-0.000567421
1978550337,0.0535909,0.358416,-0.0771709
1978562142,0.0580132,0.384596,-0.0264642
1978570947,0.0412201,0.356588,-0.0794957
1978582168,0.00472347,0.433664,0.0019429
1978590955,0.0549186,0.360391,-0.0686366
1978602145,-0.0279504,0.468691,0.0453669
1978611757,0.0331832,0.349787,-0.0627685
1978622142,-0.0218912,0.428252,-0.00106819
1978631743,0.0333913,0.327118,-0.0333492
1978642145,0.0315127,0.365875,-0.0649061
1978651743,0.027534,0.363535,-0.090586
1978662942,0.027534,0.363535,-0.090586
1978674145,0.0350519,0.347959,-0.0643301
1978682942,0.0245829,0.372969,-0.0688328
1978694165,0.0415795,0.352859,-0.0862006
1978702942,0.0187272,0.36529,-0.092797
1978723743,0.0453253,0.356369,-0.0894778
1978734942,0.0284857,0.354906,-0.0750386
1978743743,0.0230529,0.353151,-0.0735909
1978754942,0.038379,0.349129,-0.0930963
1978765343,0.038379,0.349129,-0.0930963
1978775742,0.0190536,0.332895,-0.0988856
1978784543,0.00975099,0.377868,-0.0918482
1978794957,0.0260468,0.335454,-0.062842
1978804543,-0.00641266,0.37721,-0.123321
1978814942,0.0168889,0.348105,-0.0585023
1978826942,0.00333346,0.356076,-0.105331
1978835742,0.0196541,0.335162,-0.0767875
1978845515,0.0087704,0.361415,-0.106856
1978855744,0.032989,0.339111,-0.0591464
1978865375,0.0114685,0.3571,-0.0572856
1978876547,0.0114685,0.3571,-0.0572856
1978886318,0.0314162,0.327557,-0.0964066
1978896554,0.0453129,0.345619,-0.0892467
1978907085,0.0213922,0.33231,-0.04261
1978916542,0.0376313,0.331506,-0.0791473
1978927745,0.0376313,0.331506,-0.0791473
1978937342,0.0146566,0.35008,-0.0501588
1978947742,0.0354583,0.339549,-0.0386099
1978957343,0.0283426,0.343133,-0.0390686
1978967742,0.0299992,0.360391,-0.0699724
1978978142,0.0299992,0.360391,-0.0699724
1978988542,0.00242875,0.360025,-0.0884537
1978998313,0.0285146,0.379989,-0.0755779
1979008569,0.0114437,0.335601,-0.0568234
1979018969,0.0574679,0.384815,-0.0162913
1979028542,0.00436515,0.371433,-0.0579754
1979040542,0.0444784,0.410483,-0.0736786
1979049355,-0.0083775,0.362584,-0.0533643
1979060568,0.0552547,0.448801,-0.0416056
1979069342,0.0164975,0.414944,-0.117803
1979080564,0.0653297,0.442951,-0.0630542
1979090942,0.0653297,0.442951,-0.0630542
1979100545,0.0671298,0.493847,-0.0300324
1979110260,-0.00563604,0.419916,-0.137809
1979120548,0.0132561,0.554982,-0.0240315
1979130146,-0.0412227,0.430666,-0.139949
1979141342,-0.0412227,0.430666,-0.139949
1979152542,-0.0423768,0.421452,-0.15172
1979161345,-0.0896854,0.541599,-0.0683872
1979170962,-0.0322729,0.440684,-0.173708
1979181505,-0.107485,0.541599,-0.0693413
1979202144,-0.0764098,0.539479,-0.0829401
1979213342,-0.0178597,0.433445,-0.176181
1979222270,-0.0770434,0.508546,-0.104422
1979233342,-0.0439208,0.434981,-0.189519
1979242142,-0.0449231,0.466571,-0.137519
1979253342,-0.047836,0.442293,-0.183082
1979262943,-0.0488977,0.467815,-0.163276
1979273355,-0.0328817,0.431251,-0.195652
1979282942,-0.0276182,0.443829,-0.19394
1979293342,-0.0545964,0.438564,-0.190169
1979303746,-0.0545964,0.438564,-0.190169
1979314152,-0.0529135,0.433226,-0.188262
1979323754,-0.0538941,0.416772,-0.20327
1979334298,-0.0334228,0.435054,-0.185556
1979343745,-0.0407797,0.432641,-0.214818
1979354951,-0.0407797,0.432641,-0.214818
1979366166,-0.0475581,0.458674,-0.254868
1979374942,-0.0376122,0.407704,-0.207306
1979386149,-0.0765703,0.469643,-0.246453
1979394942,-0.032751,0.432275,-0.231391
1979406142,-0.0664441,0.462696,-0.235554
1979415743,-0.0323157,0.448948,-0.20621
1979426942,-0.0859142,0.478784,-0.238645
1979435757,-0.049333,0.451142,-0.188457
1979446945,-0.0574127,0.452604,-0.204232
1979455854,-0.0512776,0.432568,-0.218781
1979466976,-0.0512776,0.432568,-0.218781
1979476571,-0.0467536,0.434688,-0.203274
1979487086,-0.0555563,0.440026,-0.205562
1979496547,-0.0291359,0.434761,-0.198929
1979506942,-0.0486405,0.466279,-0.234677
1979517498,-0.0486405,0.466279,-0.234677
1979527743,-0.0478664,0.461306,-0.215815
1979538969,-0.0500905,0.470447,-0.207626
1979547754,-0.0514387,0.450557,-0.215775
1979558302,-0.0546434,0.443244,-0.222594
1979569342,-0.0546434,0.443244,-0.222594
1979578942,-0.0328404,0.467083,-0.196422
1979588543,-0.0600555,0.459405,-0.221531
1979598942,-0.0375337,0.475786,-0.208769
1979608542,-0.0662706,0.455456,-0.238791
1979618942,-0.0378642,0.504598,-0.202604
1979630942,-0.0739275,0.462842,-0.229154
1979639742,-0.0209487,0.526462,-0.185157
1979649345,-0.0767397,0.480466,-0.243293
1979659742,-0.0536008,0.513446,-0.208741
1979669343,-0.0981033,0.476883,-0.244361
1979680578,-0.0981033,0.476883,-0.244361
1979691742,-0.0878506,0.467376,-0.269124
1979700543,-0.089204,0.509863,-0.210573
1979711742,-0.105417,0.466206,-0.241121
1979720542,-0.149558,0.561417,-0.150276
1979731742,-0.149558,0.561417,-0.150276
1979741343,-0.132215,0.526828,-0.174118
1979751742,-0.121732,0.446608,-0.236469
1979761371,-0.192383,0.581893,-0.117289
1979771745,-0.114214,0.431032,-0.210213
1979782291,-0.114214,0.431032,-0.210213
1979792542,-0.128636,0.431105,-0.207586
1979802142,-0.173693,0.453555,-0.166256
1979812542,-0.116835,0.411653,-0.194626
1979822156,-0.135083,0.450191,-0.153907
1979832542,-0.129578,0.402805,-0.190015
1979853467,-0.116263,0.388837,-0.171988
1979864560,-0.112662,0.42467,-0.172568
1979873376,-0.137623,0.388837,-0.173133
1979884542,-0.118297,0.405072,-0.167344
1979894320,-0.118297,0.405072,-0.167344
1979905342,-0.124094,0.403463,-0.159114
1979914153,-0.0941587,0.358782,-0.151443
1979925342,-0.107646,0.379989,-0.166232
1979934174,-0.0907805,0.358855,-0.147861
1979945342,-0.0907805,0.358855,-0.147861
1979954968,-0.135348,0.3786,-0.148975
1979965459,-0.110589,0.396589,-0.144633
1979974944,-0.125991,0.380208,-0.157014
1979985342,-0.128787,0.412165,-0.171462
1979994942,-0.0981937,0.419916,-0.142771
1980006263,-0.187734,0.467815,-0.170718
1980017486,-0.096928,0.368142,-0.133081
1980026144,-0.15199,0.435492,-0.171507
1980037352,-0.136865,0.369532,-0.153964
1980046143,-0.120936,0.415456,-0.184721
1980057349,-0.120936,0.415456,-0.184721
1980066942,-0.113849,0.38679,-0.183723
1980077342,-0.134439,0.378234,-0.16593
1980086956,-0.0890646,0.382183,-0.146571
1980097342,-0.144353,0.366095,-0.147487
1980107749,-0.144353,0.366095,-0.147487
1980118276,-0.130051,0.419843,-0.147879
1980127742,-0.148852,0.385474,-0.163456
1980138142,-0.10089,0.380135,-0.159069
1980147743,-0.108396,0.406461,-0.185556
1980158946,-0.108396,0.406461,-0.185556
1980170142,-0.108962,0.388764,-0.174998
1980178942,-0.121824,0.433737,-0.168151
1980189496,-0.114948,0.380062,-0.163223
1980198942,-0.131556,0.421525,-0.153099
1980210142,-0.119418,0.424523,-0.179732
1980219747,-0.0632845,0.452458,-0.127992
1980230346,-0.0941132,0.398198,-0.15229
1980239772,-0.0585911,0.443756,-0.115645
1980250142,-0.0969419,0.401488,-0.166122
1980259752,-0.0718378,0.470959,-0.101631
1980270942,-0.0718378,0.470959,-0.101631
1980280542,-0.138369,0.484853,-0.125911
1980290942,-0.140084,0.395565,-0.193824
1980300545,-0.161399,0.500941,-0.129193
1980310942,-0.108743,0.42094,-0.179082
1980331742,-0.130872,0.429496,-0.199165
1980342291,-0.15901,0.477394,-0.140465
1980351742,-0.113254,0.429569,-0.19482
1980362942,-0.162764,0.466718,-0.137034
1980371742,-0.131087,0.400903,-0.195158
1980382942,-0.141468,0.457065,-0.168006
1980392545,-0.112133,0.410117,-0.182433
1980402957,-0.139954,0.462549,-0.16294
1980412565,-0.0987983,0.414066,-0.164792
1980422969,-0.121013,0.461014,-0.149983
1980434142,-0.121013,0.461014,-0.149983
1980443905,-0.122619,0.420794,-0.186627
1980453345,-0.103884,0.397832,-0.169818
1980463742,-0.113397,0.417796,-0.15885
1980473342,-0.126344,0.4352,-0.183735
1980484542,-0.126344,0.4352,-0.183735
1980495769,-0.115918,0.418454,-0.211735
1980504542,-0.158639,0.52851,-0.180674
1980515742,-0.138559,0.455895,-0.222261
1980524542,-0.151631,0.589498,-0.178211
1980535749,-0.107247,0.456188,-0.20698
1980545496,-0.150844,0.529315,-0.226204
1980555749,-0.118096,0.46701,-0.204393
1980565343,-0.154145,0.483683,-0.264523
