timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1966432542,32767,32767,32767,32767,-66,-40,32767
1966436542,-13,32767,32767,32767,32767,32767,32767
1966440542,32767,32767,32767,32767,32767,32767,32767
1966444542,32767,32767,32767,32767,32767,-64,32767
1966448542,-22,32767,32767,32767,32767,32767,32767
1966452542,32767,32767,32767,32767,-65,-40,32767
1966456542,32767,32767,32767,32767,32767,32767,32767
1966460546,-30,32767,32767,32767,-44,32767,32767
1966464542,32767,32767,32767,32767,32767,32767,32767
1966468542,-1,32767,32767,32767,32767,32767,32767
1966472542,32767,32767,32767,32767,-62,32767,32767
1966476569,32767,32767,32767,32767,32767,-72,32767
1966480580,-12,32767,32767,32767,32767,32767,32767
1966485342,32767,32767,32767,32767,32767,-48,32767
1966489342,32767,32767,32767,32767,32767,32767,32767
1966493342,-32,32767,32767,32767,-69,-40,32767
1966497534,32767,32767,32767,32767,32767,32767,32767
1966501342,-1,32767,32767,32767,-48,32767,32767
1966505342,32767,32767,32767,32767,32767,-48,32767
1966509342,32767,32767,32767,32767,32767,32767,32767
1966513342,-11,32767,32767,32767,-68,32767,32767
1966517370,32767,32767,32767,32767,32767,-71,32767
1966521342,32767,32767,32767,32767,32767,32767,32767
1966525342,-21,32767,32767,32767,32767,-48,32767
1966529342,32767,32767,32767,32767,32767,32767,32767
1966533346,11,32767,32767,32767,-66,32767,32767
1966537345,32767,32767,32767,32767,32767,-72,32767
1966541342,32767,32767,32767,32767,-45,32767,32767
1966545352,3,32767,32767,32767,32767,-48,32767
1966549497,32767,32767,32767,32767,32767,32767,32767
1966553342,32767,32767,32767,32767,-65,32767,32767
1966557342,-6,32767,32767,32767,32767,-72,32767
1966561345,32767,32767,32767,32767,32767,32767,32767
1966565342,32767,32767,32767,32767,32767,-40,32767
1966569342,-14,32767,32767,32767,32767,32767,32767
1966573342,32767,32767,32767,32767,-62,32767,32767
1966577504,32767,32767,32767,32767,32767,-66,32767
1966581501,-26,32767,32767,32767,-43,32767,32767
1966585342,32767,32767,32767,32767,32767,-38,32767
1966589342,32767,32767,32767,32767,32767,32767,32767
1966593342,-33,32767,32767,32767,-60,32767,32767
1966597342,32767,32767,32767,32767,32767,-64,32767
1966601519,-6,32767,32767,32767,32767,32767,32767
1966605342,32767,32767,32767,32767,32767,-38,32767
1966609342,32767,32767,32767,32767,32767,32767,32767
1966613342,-13,32767,32767,32767,-57,32767,32767
1966617342,32767,32767,-52,32767,32767,-64,32767
1966621342,32767,32767,32767,32767,-37,32767,32767
1966625351,-22,32767,32767,32767,32767,32767,32767
1966629342,32767,32767,32767,32767,32767,-72,32767
1966633342,32767,32767,32767,32767,-56,32767,32767
1966637342,-33,32767,32767,32767,32767,-40,32767
1966641342,32767,32767,32767,32767,32767,32767,32767
1966645345,-4,32767,32767,32767,32767,32767,32767
1966649358,32767,32767,32767,32767,32767,-72,32767
1966653480,32767,32767,32767,32767,-54,32767,32767
1966657342,-17,32767,32767,32767,32767,-39,32767
1966661342,32767,32767,32767,32767,32767,32767,32767
1966665467,32767,32767,32767,32767,-74,32767,32767
1966669342,-27,32767,32767,32767,32767,-72,32767
1966673347,32767,32767,32767,32767,-52,32767,32767
1966677342,3,32767,32767,32767,32767,-40,32767
1966681342,32767,32767,32767,32767,32767,32767,32767
1966685345,32767,32767,32767,32767,32767,32767,32767
1966689342,-6,32767,32767,32767,32767,-64,32767
1966693342,32767,32767,32767,32767,-48,32767,32767
1966697350,32767,32767,32767,32767,32767,-40,32767
1966701342,-17,32767,32767,32767,32767,32767,32767
1966705460,32767,32767,32767,32767,-69,32767,32767
1966709342,32767,32767,32767,32767,32767,-64,32767
1966713342,-28,32767,32767,32767,-46,32767,32767
1966717342,32767,32767,32767,32767,32767,-40,32767
1966721345,0,32767,32767,32767,32767,32767,32767
1966725342,32767,32767,32767,32767,32767,32767,32767
1966729347,32767,32767,32767,32767,32767,-56,32767
1966734308,-22,32767,32767,32767,-55,32767,32767
1966738155,32767,32767,32767,32767,32767,-38,32767
1966742142,32767,32767,32767,32767,32767,32767,32767
1966746145,-28,32767,32767,32767,-72,32767,32767
1966750142,32767,32767,32767,32767,32767,-64,32767
1966754162,3,32767,32767,32767,-52,32767,32767
1966758146,32767,32767,32767,32767,32767,-40,32767
1966762310,32767,32767,32767,32767,32767,32767,32767
1966766166,-9,32767,32767,32767,32767,32767,32767
1966770142,32767,32767,32767,32767,32767,-64,32767
1966774142,32767,32767,32767,32767,-49,32767,32767
1966778169,-20,32767,32767,32767,32767,-40,32767
1966782142,32767,32767,32767,32767,32767,32767,32767
1966786142,32767,32767,32767,32767,-68,32767,32767
1966790313,-30,32767,32767,32767,32767,-42,32767
1966794142,32767,32767,32767,32767,-47,32767,32767
1966798142,-1,32767,32767,32767,32767,32767,32767
1966802142,32767,32767,32767,32767,32767,-72,32767
1966806144,32767,32767,32767,32767,32767,32767,32767
1966810942,-20,32767,32767,32767,32767,-48,32767
1966814942,32767,32767,32767,32767,-53,32767,32767
1966818942,32767,32767,-99,32767,32767,-40,32767
1966822942,-29,32767,32767,32767,32767,32767,32767
1966826942,32767,32767,32767,32767,-73,32767,32767
1966830951,3,32767,32767,32767,32767,-48,32767
1966834942,32767,32767,32767,32767,-52,32767,32767
1966838942,32767,32767,32767,32767,32767,32767,32767
1966842947,-9,32767,32767,32767,32767,-72,32767
1966846945,32767,32767,32767,32767,32767,32767,32767
