timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1820335999,-6.62506,-6.54017,6.71848,1.0
1820346876,-6.64228,-6.55713,6.71562,1.0
1820357882,-6.65693,-6.57159,6.71562,1.0
1820368934,-6.66923,-6.58374,6.71562,1.0
1820379713,-6.68022,-6.59434,6.71705,1.0
1820390528,-6.689,-6.60308,6.72277,1.0
1820401583,-6.69481,-6.60888,6.71705,1.0
1820412758,-6.69801,-6.61202,6.71562,1.0
1820423711,-6.70151,-6.61563,6.71848,1.0
1820434478,-6.70806,-6.62253,6.7685,1.0
1820445261,-6.71581,-6.62959,6.71848,1.0
1820456170,-6.72438,-6.638,6.71419,1.0
1820466919,-6.73523,-6.64862,6.71276,1.0
1820478362,-6.74725,-6.66051,6.71419,1.0
1820489303,-6.75855,-6.67164,6.71276,1.0
1820500223,-6.76908,-6.68211,6.71848,1.0
1820511291,-6.78052,-6.69335,6.71419,1.0
1820522372,-6.79184,-6.70463,6.71705,1.0
1820533600,-6.80045,-6.71311,6.71562,1.0
1820544521,-6.80594,-6.71914,6.76993,1.0
1820555623,-6.80893,-6.72225,6.77708,1.0
1820566535,-6.80972,-6.72306,6.77708,1.0
1820577285,-6.80913,-6.72178,6.71848,1.0
1820588173,-6.80801,-6.72153,6.77565,1.0
1820598909,-6.80657,-6.71926,6.70847,1.0
1820609717,-6.8066,-6.71919,6.70847,1.0
1820620763,-6.80955,-6.72205,6.71276,1.0
1820631658,-6.81478,-6.72754,6.73134,1.0
1820642486,-6.82262,-6.73482,6.71276,1.0
1820653285,-6.83291,-6.74503,6.71705,1.0
1820664170,-6.84471,-6.75658,6.70847,1.0
1820675181,-6.85866,-6.77042,6.71991,1.0
1820686129,-6.87518,-6.78681,6.71562,1.0
1820697001,-6.89302,-6.80442,6.71562,1.0
1820708016,-6.91035,-6.82156,6.71276,1.0
1820718863,-6.92716,-6.83829,6.71562,1.0
1820729725,-6.94426,-6.85508,6.71133,1.0
1820740456,-6.9607,-6.87137,6.71562,1.0
1820751361,-6.9756,-6.88614,6.71562,1.0
1820762403,-6.9898,-6.90012,6.71562,1.0
1820773290,-7.00412,-6.91427,6.71562,1.0
1820784188,-7.01778,-6.92848,6.77708,1.0
1820795231,-7.03002,-6.93994,6.71848,1.0
1820806423,-7.0408,-6.95059,6.71419,1.0
1820817325,-7.04935,-6.95901,6.71276,1.0
1820828482,-7.05347,-6.9629,6.71276,1.0
