timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1988151619,0.0990466,-0.4,0.18765,0.0
1988357659,0.104401,-0.4,0.185183,0.0
1988557972,0.0968876,-0.399946,0.187482,0.0
1988764441,0.107349,-0.4,0.185619,0.0
1988964885,0.107751,-0.4,0.190115,0.0
1989168370,0.101813,-0.4,0.192133,0.0
1989369286,0.0986836,-0.4,0.191044,0.0
1989572017,0.0952018,-0.4,0.183099,0.0
1989772425,0.0917714,-0.4,0.185909,0.0
1989977836,0.0966461,-0.399983,0.188494,0.0
1990179325,0.100612,-0.399018,0.188829,0.0
1990383272,0.0918893,-0.398875,0.189775,0.0
1990584763,0.0915997,-0.398752,0.190693,0.0
1990789318,0.0770525,-0.399088,0.193727,0.0
1990991489,0.0927545,-0.4,0.194609,0.0
1991192307,0.100098,-0.4,0.197423,0.0
1991392399,0.0925506,-0.4,0.198993,0.0
1991598472,0.0872148,-0.4,0.199108,0.0
1991798697,0.0845479,-0.4,0.19891,0.0
1992003573,0.0834009,-0.4,0.2,0.0
1992204881,0.0806564,-0.4,0.2,0.0
1992410038,0.0853404,-0.4,0.2,0.0
1992612047,0.0827627,-0.4,0.2,0.0
1992816865,0.081714,-0.4,0.2,0.0
1993016463,0.0817134,-0.4,0.19969,0.0
1993223224,0.0810324,-0.4,0.195406,0.0
1993422790,0.0797899,-0.4,0.196196,0.0
1993628827,0.0731505,-0.4,0.195029,0.0
1993829536,0.0678945,-0.4,0.197128,0.0
1994033157,0.0632348,-0.4,0.199999,0.0
1994234858,0.0660958,-0.4,0.194598,0.0
1994440907,0.0507689,-0.4,0.191729,0.0
1994640429,0.0506338,-0.4,0.2,0.0
1994846781,0.0584933,-0.4,0.197445,0.0
1995046857,0.0580192,-0.4,0.194988,0.0
1995252961,0.056444,-0.4,0.199816,0.0
1995454617,0.0532612,-0.4,0.2,0.0
1995657723,0.0574517,-0.4,0.199303,0.0
1995859157,0.0532247,-0.4,0.2,0.0
1996062695,0.0455476,-0.4,0.2,0.0
1996263461,0.0544439,-0.399998,0.199945,0.0
1996463945,0.0460397,-0.4,0.199777,0.0
1996664939,0.0509699,-0.4,0.2,0.0
1996866544,0.0461957,-0.4,0.199442,0.0
1997068425,0.0425012,-0.4,0.196182,0.0
1997270749,0.0409921,-0.4,0.196388,0.0
1997475979,0.0455545,-0.4,0.198511,0.0
1997677632,0.060989,-0.4,0.199712,0.0
1997877984,0.063471,-0.4,0.2,0.0
1998078837,0.0629764,-0.4,0.2,0.0
1998280894,0.0641217,-0.4,0.2,0.0
1998481612,0.0726127,-0.4,0.196852,0.0
1998686446,0.0736891,-0.4,0.19572,0.0
1998886760,0.0730017,-0.4,0.2,0.0
1999088145,0.068654,-0.4,0.199865,0.0
1999288382,0.065139,-0.4,0.198126,0.0
1999494033,0.057402,-0.4,0.198614,0.0
1999694006,0.0638526,-0.4,0.2,0.0
1999900861,0.0643556,-0.4,0.2,0.0
2000101309,0.0519898,-0.399879,0.199935,0.0
2000305063,0.0491308,-0.4,0.2,0.0
2000506109,0.0534497,-0.4,0.194978,0.0
2000707597,0.0432285,-0.4,0.197112,0.0
2000909543,0.00541271,-0.4,0.1995,0.0
2001110109,0.0195812,-0.4,0.194204,0.0
2001311228,0.0233685,-0.4,0.193557,0.0
