timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance
2027433867,-0.0599615,0.0262962,-0.00565815,0.085201,2.83982,100.145,30.4314,nan,0.0
2027936772,-0.0748069,0.012672,-0.0102553,0.0848777,3.1855,96.9193,32.54,nan,0.0
2028438707,-0.0624236,0.0181279,-0.0196662,0.0845524,3.53118,93.5217,32.9228,nan,0.0
2028941223,-0.0251079,0.0691073,-0.0288591,0.0842251,3.87686,90.016,33.3088,nan,0.0
2029448278,-0.0412321,0.0910591,-0.0251902,0.0844879,3.57931,86.5531,31.7465,nan,0.0
2029958007,-0.0195,0.085178,-0.0244734,0.0847523,3.28176,83.2915,29.2925,nan,0.0
2030437727,0.0173866,0.0733897,-0.0135178,0.084985,3.02141,80.3282,29.8732,nan,0.0
2030943685,0.0132898,0.0766164,0.000950463,0.0852525,2.72386,77.0576,31.4037,nan,0.0
2031446837,-0.0125941,0.0730902,0.00807744,0.085488,2.46351,73.7412,30.9351,nan,0.0
2031952859,-0.0187305,0.0653257,0.0192637,0.0857587,2.16596,70.3949,31.6295,nan,0.0
2032460280,-0.0299265,0.0902241,0.0134433,0.0854282,2.51164,66.9126,33.8109,nan,0.0
2032958448,-0.0434806,0.0,0.00759358,0.0851295,2.82013,63.2798,35.2001,nan,0.0
2033441074,-0.00869438,0.00171707,0.0872035,0.0872035,0.0,59.7896,31.8723,nan,0.0
2033942424,-0.0427809,0.00226048,0.0872035,0.0872035,0.0,56.3935,29.6231,nan,0.0
2034450124,0.0162025,0.00839944,0.0872035,0.0872035,0.0,53.152,28.9528,nan,0.0
2034952308,0.00555016,0.00932019,0.0872035,0.0872035,0.0,49.956,28.9516,nan,0.0
2035458684,-0.0135213,0.00932019,0.0872035,0.0872035,0.0,46.7478,28.5252,nan,0.0
2035961969,0.0204442,0.0105753,0.0872035,0.0872035,0.0,43.742,27.4529,nan,0.0
2036463702,-0.00589457,0.018501,0.0872035,0.0872035,0.0,40.8349,27.6474,nan,0.0
2036967423,-0.0226619,0.0219125,0.0872035,0.0872035,0.0,38.0045,26.9486,nan,0.0
2037473030,-0.0661869,0.024922,0.0872035,0.0872035,0.0,35.4327,27.9019,nan,0.0
