timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1837647742,40.4364899968,-86.8936778618,155.705,125.222,-0.0,-0.0216763,-0.0725926,-0.0854778,0.128936,0.835325,1.6624,0.0,3,0,0,0
1837852542,40.4364899458,-86.8936778866,155.708,125.237,-0.0,-0.0829701,-0.0463931,-0.0313486,0.0478577,0.836123,1.66236,0.0,3,0,0,0
1838053353,40.4364898863,-86.8936778695,155.729,125.27,-0.0,-0.00451792,-0.025412,-0.152826,-0.0444791,0.836244,1.66258,0.0,3,0,0,0
1838254142,40.4364899335,-86.893677872,155.757,125.309,-0.0,0.0203886,-0.0565052,-0.0959556,-0.150568,0.836615,1.66254,0.0,3,0,0,0
1838459746,40.4364899501,-86.8936779526,155.784,125.347,-0.0,-0.0203046,-0.0481793,-0.0805567,-0.248115,0.827242,1.66227,0.0,3,0,0,0
1838660568,40.4364898088,-86.8936780648,155.822,125.394,-0.0,-0.0827328,-0.068855,-0.140586,-0.269996,0.827125,1.66218,0.0,3,0,0,0
1838861342,40.4364896049,-86.8936781206,155.87,125.451,-0.0,-0.0944034,-0.0736233,-0.0970856,-0.192774,0.827061,1.66225,0.0,3,0,0,0
1839058951,40.4364894727,-86.8936781227,155.9,125.491,-0.0,-0.0665476,-0.0235443,-0.0325753,-0.114346,0.826958,1.66219,0.0,3,0,0,0
1839259742,40.4364893716,-86.8936780826,155.915,125.516,-0.0,-0.0376453,0.0184656,0.0419541,-0.101768,0.837011,1.66253,0.0,3,0,0,0
1839468542,40.4364894006,-86.8936778474,155.921,125.53,-0.0,0.00737468,0.0273926,0.0148348,-0.0846504,0.826417,1.662,0.0,3,0,0,0
1839669498,40.43648943,-86.8936777256,155.925,125.543,-0.0,-0.0816827,-0.0428409,0.0359989,-0.070909,0.825891,1.66202,0.0,3,0,0,0
1839870942,40.4364892034,-86.8936778613,155.942,125.567,-0.0,-0.127403,-0.0974194,0.0195598,0.0306863,0.82548,1.66197,0.0,3,0,0,0
1840071742,40.4364889925,-86.893678065,155.952,125.584,-0.0,-0.0400063,-0.0312088,0.0369305,0.192664,0.825082,1.66202,0.0,3,0,0,0
1840269342,40.4364889381,-86.8936779581,155.973,125.61,-0.0,-0.00448756,-0.000858281,-0.128033,0.292851,0.824784,1.66214,0.0,3,0,0,0
1840474143,40.4364889463,-86.893677951,156.0,125.64,-0.0,0.00412035,-0.0499178,-0.121217,0.254533,0.82486,1.66227,0.0,3,0,0,0
1840674942,40.436488872,-86.8936776714,156.028,125.671,-0.0,0.0192139,0.241917,-0.186452,0.177772,0.824656,1.66237,0.0,3,0,0,0
1840875769,40.4364890682,-86.8936770537,156.042,125.689,-0.0,0.193073,0.219213,-0.0452067,0.0737195,0.824718,1.66236,0.0,3,0,0,0
1841077356,40.436489409,-86.8936766616,156.025,125.676,-0.0,0.148538,0.121763,0.0167397,-0.0759536,0.824801,1.66228,0.0,3,0,0,0
1841285342,40.4364895536,-86.8936765875,155.988,125.644,-0.0,0.0220108,0.00527271,-0.0198743,-0.142512,0.825342,1.66212,0.0,3,0,0,0
1841486942,40.4364895735,-86.8936767825,155.947,125.609,-0.0,-0.000949723,-0.0633101,-0.090363,-0.164018,0.82543,1.66216,0.0,3,0,0,0
1841691742,40.4364894801,-86.8936770556,155.903,125.572,-0.0,-0.0266654,-0.0636062,-0.0348194,-0.145302,0.825711,1.66221,0.0,3,0,0,0
1841893343,40.4364893209,-86.8936772579,155.872,125.551,-0.0,-0.0444602,-0.041148,-0.0387345,-0.0972164,0.825655,1.6622,0.0,3,0,0,0
1842094142,40.4364890947,-86.893677434,155.837,125.527,-0.0,-0.0799487,-0.077247,0.0144551,-0.0182196,0.825613,1.66221,0.0,3,0,0,0
1842291746,40.4364889009,-86.8936776007,155.804,125.506,-0.0,-0.0481431,-0.0703946,-0.0227198,0.0103759,0.825468,1.66214,0.0,3,0,0,0
1842500542,40.4364887541,-86.8936776392,155.773,125.486,-0.0,0.00442655,-0.0427769,0.0212322,0.0263458,0.825703,1.66222,0.0,3,0,0,0
1842701366,40.4364886579,-86.893677651,155.747,125.472,-0.0,-0.0301087,-0.0413336,-0.0363117,0.0346231,0.825772,1.66223,0.0,3,0,0,0
1842902144,40.4364885725,-86.8936776059,155.708,125.446,-0.0,-0.00697354,-0.0322027,0.010583,0.0292694,0.825839,1.66212,0.0,3,0,0,0
1843107742,40.4364885084,-86.8936775792,155.676,125.428,-0.0,0.0100001,-0.0353015,-0.00289842,0.0164792,0.82633,1.66216,0.0,3,0,0,0
1843307742,40.4364884455,-86.8936775332,155.661,125.427,-0.0,-0.0252707,-0.0288118,-0.00156576,0.0362185,0.826194,1.66207,0.0,3,0,0,0
1843509342,40.4364883155,-86.8936775097,155.646,125.426,-0.0,-0.0497924,-0.0717942,-0.00378425,0.0277396,0.826311,1.66212,0.0,3,0,0,0
1843718942,40.4364881203,-86.8936775264,155.633,125.428,-0.0,-0.0634824,-0.0250353,0.0381452,0.027965,0.826828,1.66197,0.0,3,0,0,0
1843915742,40.4364878752,-86.8936774528,155.627,125.436,-0.0,-0.0584474,-0.00934253,0.0506976,0.065309,0.827035,1.66208,0.0,3,0,0,0
1844124542,40.4364876942,-86.8936773104,155.63,125.454,-0.0,-0.0542915,0.00485415,-0.00633627,0.0838583,0.827469,1.66218,0.0,3,0,0,0
1844326142,40.4364874855,-86.893677148,155.635,125.472,-0.0,-0.0726942,0.0608143,0.0163058,0.0809222,0.827736,1.66232,0.0,3,0,0,0
1844530976,40.4364872529,-86.8936769061,155.626,125.478,-0.0,-0.083578,0.084593,0.067147,0.109269,0.828273,1.66235,0.0,3,0,0,0
1844731742,40.4364870683,-86.8936767104,155.612,125.478,-0.0,-0.0651994,0.028076,0.0457716,0.111723,0.828526,1.66244,0.0,3,0,0,0
1844932577,40.4364869058,-86.8936766263,155.603,125.481,-0.0,-0.0614049,0.0401592,0.0524777,0.0706462,0.828793,1.66237,0.0,3,0,0,0
1845133342,40.4364867257,-86.8936765021,155.598,125.488,-0.0,-0.0568705,0.0153093,0.036681,0.08381,0.829039,1.66234,0.0,3,0,0,0
1845334942,40.436486549,-86.8936764627,155.612,125.513,-0.0,-0.0522838,-0.00901994,-0.0177759,0.0846483,0.829264,1.66232,0.0,3,0,0,0
1845531742,40.4364862863,-86.8936763845,155.61,125.522,-0.0,-0.10381,0.0360432,0.0986375,0.0842961,0.829541,1.66242,0.0,3,0,0,0
1845740542,40.4364859995,-86.8936763521,155.607,125.529,-0.0,-0.0914517,0.00448781,0.0183115,0.0710882,0.829912,1.66248,0.0,3,0,0,0
1845942269,40.4364857372,-86.8936763071,155.613,125.545,-0.0,-0.0932398,0.0121519,0.0292303,0.0656884,0.830358,1.6626,0.0,3,0,0,0
1846142942,40.4364854638,-86.8936762671,155.621,125.563,-0.0,-0.106654,0.00619452,0.0282859,0.0752624,0.830317,1.66251,0.0,3,0,0,0
1846343865,40.4364851679,-86.8936762093,155.622,125.574,-0.0,-0.11089,0.0132413,0.0741612,0.0773607,0.830485,1.66243,0.0,3,0,0,0
1846545504,40.4364848701,-86.8936761155,155.615,125.576,-0.0,-0.103861,-0.0085691,0.000804305,0.0855859,0.830573,1.66241,0.0,3,0,0,0
1846750145,40.4364845577,-86.8936760973,155.632,125.601,-0.0,-0.143065,-0.0101299,-0.0478842,0.0353455,0.831105,1.66238,0.0,3,0,0,0
1846950942,40.4364841885,-86.8936759511,155.643,125.621,-0.0,-0.161066,0.0517308,0.0602761,0.0412838,0.831083,1.66259,0.0,3,0,0,0
1847151742,40.4364838363,-86.8936757863,155.654,125.642,-0.0,-0.134331,0.041046,0.032998,0.0595769,0.831235,1.66234,0.0,3,0,0,0
1847353342,40.4364835427,-86.8936756982,155.668,125.665,-0.0,-0.143453,0.011553,-0.00826735,0.0465404,0.831333,1.66234,0.0,3,0,0,0
1847562142,40.4364831995,-86.8936756487,155.69,125.696,-0.0,-0.160385,-0.00463074,-0.0124763,0.0175613,0.831862,1.66246,0.0,3,0,0,0
1847763742,40.4364828703,-86.893675608,155.708,125.725,-0.0,-0.124542,0.0312707,0.00806295,-0.0112549,0.831918,1.66238,0.0,3,0,0,0
1847963742,40.4364825683,-86.8936754949,155.727,125.754,-0.0,-0.139555,-0.00180457,-0.0124225,-0.0143801,0.832089,1.66235,0.0,3,0,0,0
1848166169,40.4364822352,-86.8936754395,155.747,125.784,-0.0,-0.163463,-0.0192266,-0.0168545,0.0034452,0.832228,1.66229,0.0,3,0,0,0
1848374173,40.4364818651,-86.8936755454,155.776,125.823,-0.0,-0.191464,-0.0960374,-0.0230185,0.0254585,0.83267,1.6623,0.0,3,0,0,0
1848571891,40.4364814726,-86.8936756952,155.806,125.862,-0.0,-0.179933,-0.0741413,-0.019755,0.0954256,0.832634,1.66232,0.0,3,0,0,0
1848780542,40.4364811328,-86.8936757836,155.835,125.9,-0.0,-0.143023,-0.0324391,-0.0534474,0.150745,0.833184,1.6624,0.0,3,0,0,0
1848982142,40.4364808718,-86.8936757532,155.862,125.937,-0.0,-0.131969,0.0120969,-0.0223447,0.153148,0.833322,1.66248,0.0,3,0,0,0
1849183006,40.4364806592,-86.8936755733,155.884,125.969,-0.0,-0.0990924,0.1317,-0.0898509,0.155096,0.833584,1.66256,0.0,3,0,0,0
1849383744,40.4364805117,-86.8936751553,155.899,125.994,-0.0,-0.0709588,0.194358,0.0495131,0.0792992,0.833819,1.6624,0.0,3,0,0,0
1849584542,40.4364803556,-86.8936748061,155.895,126.002,-0.0,-0.12681,0.127367,-0.0451479,0.00224974,0.834069,1.66243,0.0,3,0,0,0
1849785344,40.4364801492,-86.8936746169,155.919,126.036,-0.0,-0.143134,0.0829146,-0.0365932,-0.0464717,0.834387,1.66254,0.0,3,0,0,0
1849986942,40.4364799752,-86.8936745185,155.937,126.064,-0.0,-0.141267,0.0516287,-0.0633761,-0.0701577,0.834766,1.66258,0.0,3,0,0,0
1850192542,40.4364798371,-86.8936743921,155.959,126.096,-0.0,-0.134212,0.0494876,-0.0606915,-0.0409277,0.835614,1.66261,0.0,3,0,0,0
1850392573,40.4364797353,-86.8936743621,155.981,126.127,-0.0,-0.0936147,0.00946303,-0.100617,-0.0598877,0.835815,1.66258,0.0,3,0,0,0
1850598142,40.4364796674,-86.8936742995,155.984,126.14,-0.0,-0.108786,0.0753807,-0.00160854,-0.0321453,0.836621,1.66268,0.0,3,0,0,0
1850798942,40.4364796082,-86.8936741614,155.97,126.136,-0.0,-0.110824,0.0623962,-0.039514,0.00632124,0.836894,1.6627,0.0,3,0,0,0
1850996542,40.4364795466,-86.8936740707,155.954,126.13,-0.0,-0.116094,0.0611474,-0.0270822,0.00324994,0.83729,1.66279,0.0,3,0,0,0
