timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1966382114,0.135793,0.0345748,0.278406,0.0,0.98806,0.0647851,0.0264921,0.137252,0.703203,0.0,0.0,1,0,0,0,0,0
1966479538,0.129361,0.0261861,0.280477,0.0,0.988146,0.062169,0.0219709,0.138637,0.685453,0.0,0.0,1,0,0,0,0,0
1966599324,0.13,0.0333453,0.28403,0.0,0.987858,0.0619366,0.0256614,0.140148,0.680419,0.0,0.0,1,0,0,0,0,0
1966695341,0.129619,0.0334395,0.287594,0.0,0.987618,0.0616958,0.0257912,0.141909,0.66529,0.0,0.0,1,0,0,0,0,0
1966792392,0.124677,0.0302923,0.289596,0.0,0.987636,0.0594579,0.0239461,0.143062,0.648151,0.0,0.0,1,0,0,0,0,0
1966888820,0.119311,0.0408468,0.276373,0.0,0.988667,0.0562316,0.0284021,0.136267,0.658413,0.0,0.0,1,0,0,0,0,0
1966985969,0.120931,0.0373679,0.276419,0.0,0.988637,0.0572725,0.0267946,0.136376,0.663387,0.0,0.0,1,0,0,0,0,0
1967105924,0.115915,0.0355459,0.277167,0.0,0.988736,0.0549099,0.0255726,0.136867,0.692955,0.0,0.0,1,0,0,0,0,0
1967202059,0.11332,0.0329781,0.278882,0.0,0.9887,0.0537843,0.0241719,0.137823,0.719588,0.0,0.0,1,0,0,0,0,0
1967298553,0.115246,0.0259572,0.280411,0.0,0.988565,0.0552107,0.0208771,0.138763,0.730436,0.0,0.0,1,0,0,0,0,0
1967395374,0.116546,0.0257552,0.280914,0.0,0.988494,0.055862,0.0208815,0.139004,0.737139,0.0,0.0,1,0,0,0,0,0
1967516298,0.119343,0.0367246,0.280575,0.0,0.9884,0.0564776,0.0264859,0.138471,0.74526,0.0,0.0,1,0,0,0,0,0
1967608523,0.121131,0.0508239,0.280705,0.0,0.988247,0.0563661,0.033578,0.138068,0.762379,0.0,0.0,1,0,0,0,0,0
1967704761,0.12977,0.0424704,0.280996,0.0,0.988033,0.0612189,0.030058,0.138347,0.749962,0.0,0.0,1,0,0,0,0,0
1967801998,0.139353,0.0415399,0.281771,0.0,0.98768,0.0660062,0.0302868,0.138618,0.748308,0.0,0.0,1,0,0,0,0,0
1967921742,0.143679,0.0481057,0.282582,0.0,0.987439,0.0676636,0.0338543,0.138708,0.753079,0.0,0.0,1,0,0,0,0,0
1968014877,0.146134,0.0456875,0.282533,0.0,0.987374,0.0690484,0.0328297,0.138734,0.744889,0.0,0.0,1,0,0,0,0,0
1968110502,0.146378,0.0492133,0.282215,0.0,0.987364,0.0689238,0.0345754,0.13844,0.743116,0.0,0.0,1,0,0,0,0,0
1968207529,0.144779,0.0576346,0.282891,0.0,0.987304,0.0675231,0.0386428,0.138484,0.743009,0.0,0.0,1,0,0,0,0,0
1968328149,0.145567,0.0583953,0.283535,0.0,0.987226,0.067845,0.0390944,0.138757,0.729876,0.0,0.0,1,0,0,0,0,0
1968424878,0.144438,0.0679649,0.297401,0.0,0.98618,0.0662981,0.0441973,0.145257,0.732881,0.0,0.0,1,0,0,0,0,0
1968521609,0.139653,0.070523,0.29743,0.0,0.986303,0.0637461,0.0451113,0.145282,0.733757,0.0,0.0,1,0,0,0,0,0
1968618053,0.138885,0.0644812,0.298604,0.0,0.986312,0.0637957,0.0421153,0.1461,0.728884,0.0,0.0,1,0,0,0,0,0
1968737968,0.155227,0.0295065,0.332194,0.0,0.983351,0.0740285,0.0273238,0.163691,0.691705,0.0,0.0,1,0,0,0,0,0
1968834880,0.157165,0.00655147,0.341344,0.0,0.982468,0.0768061,0.0165512,0.169066,0.672364,0.0,0.0,1,0,0,0,0,0
1968930635,0.163254,-0.0118321,0.361079,0.0,0.980368,0.0812685,0.00883996,0.179434,0.663776,0.0,0.0,1,0,0,0,0,0
1969027454,0.17431,-0.0289376,0.388849,0.0,0.977089,0.0881804,0.00267362,0.193684,0.664855,0.0,0.0,1,0,0,0,0,0
1969143993,0.195953,-0.0461293,0.415049,0.0,0.973127,0.100425,-0.00231028,0.207203,0.672923,0.0,0.0,1,0,0,0,0,0
1969240923,0.21015,-0.0545579,0.43432,0.0,0.97015,0.108224,-0.00389897,0.216983,0.679492,0.0,0.0,1,0,0,0,0,0
1969337915,0.222558,-0.0593661,0.455421,0.0,0.96699,0.114794,-0.00367561,0.227463,0.682748,0.0,0.0,1,0,0,0,0,0
1969457333,0.238613,-0.0628494,0.486394,0.0,0.962297,0.122977,-0.0016306,0.242606,0.685231,0.0,0.0,1,0,0,0,0,0
1969554736,0.247322,-0.0641005,0.516052,0.0,0.958011,0.127316,0.00071105,0.256915,0.685248,0.0,0.0,1,0,0,0,0,0
1969650674,0.253649,-0.0653972,0.540259,0.0,0.954382,0.130487,0.00248111,0.268557,0.677053,0.0,0.0,1,0,0,0,0,0
1969747507,0.267485,-0.0649844,0.568238,0.0,0.94962,0.136956,0.00645262,0.28182,0.665072,0.0,0.0,1,0,0,0,0,0
1969843441,0.275293,-0.0618925,0.586747,0.0,0.946538,0.14015,0.0103214,0.290375,0.651996,0.0,0.0,1,0,0,0,0,0
1969964524,0.284705,-0.0572999,0.618907,0.0,0.941241,0.143713,0.0161784,0.305205,0.636363,0.0,0.0,1,0,0,0,0,0
1970060881,0.287878,-0.0542703,0.635973,0.0,0.938481,0.144596,0.0193263,0.313004,0.623242,0.0,0.0,1,0,0,0,0,0
1970153689,0.297005,-0.0521379,0.657885,0.0,0.934404,0.148305,0.0233834,0.323028,0.612073,0.0,0.0,1,0,0,0,0,0
1970249895,0.302291,-0.051075,0.678465,0.0,0.930676,0.150344,0.0262831,0.332488,0.604727,0.0,0.0,1,0,0,0,0,0
1970350123,0.291811,-0.0511182,0.685411,0.0,0.930288,0.145386,0.0250254,0.335857,0.596093,0.0,0.0,1,0,0,0,0,0
1970471338,0.297615,-0.0535427,0.710599,0.0,0.925468,0.148158,0.0267375,0.347624,0.59521,0.0,0.0,1,0,0,0,0,0
1970567443,0.292597,-0.0639298,0.729818,0.0,0.922042,0.147392,0.0224599,0.357224,0.603856,0.0,0.0,1,0,0,0,0,0
1970665010,0.282806,-0.0803973,0.736427,0.0,0.920875,0.145701,0.0135676,0.361353,0.614362,0.0,0.0,1,0,0,0,0,0
1970761194,0.288996,-0.0952268,0.754976,0.0,0.916337,0.151066,0.00923144,0.370703,0.623598,0.0,0.0,1,0,0,0,0,0
1970856470,0.297091,-0.104608,0.77353,0.0,0.911764,0.156383,0.0078628,0.379696,0.632913,0.0,0.0,1,0,0,0,0,0
1970977877,0.302553,-0.110348,0.785757,0.0,0.908689,0.159878,0.00724522,0.385578,0.642751,0.0,0.0,1,0,0,0,0,0
1971074826,0.305576,-0.11045,0.805167,0.0,0.904656,0.161187,0.00934583,0.394371,0.644959,0.0,0.0,1,0,0,0,0,0
1971170483,0.30486,-0.109072,0.817652,0.0,0.90231,0.160538,0.0108348,0.399933,0.640692,0.0,0.0,1,0,0,0,0,0
1971267346,0.309543,-0.109206,0.83568,0.0,0.898283,0.162564,0.0131766,0.408028,0.639108,0.0,0.0,1,0,0,0,0,0
1971387126,0.308865,-0.105211,0.847505,0.0,0.896132,0.161384,0.0158006,0.413101,0.632369,0.0,0.0,1,0,0,0,0,0
1971484247,0.307534,-0.0992961,0.858641,0.0,0.89425,0.159505,0.019084,0.417746,0.625855,0.0,0.0,1,0,0,0,0,0
1971576909,0.309695,-0.094602,0.869222,0.0,0.892108,0.159406,0.0224924,0.422169,0.626682,0.0,0.0,1,0,0,0,0,0
1971673867,0.307417,-0.0907464,0.885956,0.0,0.888932,0.157396,0.0250612,0.429417,0.63032,0.0,0.0,1,0,0,0,0,0
1971793750,0.299059,-0.0875495,0.89655,0.0,0.887461,0.15288,0.0255077,0.43404,0.624269,0.0,0.0,1,0,0,0,0,0
1971891265,0.30029,-0.0827525,0.906519,0.0,0.88544,0.152272,0.028676,0.438164,0.619083,0.0,0.0,1,0,0,0,0,0
1971986494,0.301156,-0.0762967,0.916315,0.0,0.883545,0.151119,0.0324817,0.442105,0.613901,0.0,0.0,1,0,0,0,0,0
1972083246,0.300456,-0.0687066,0.925936,0.0,0.881836,0.148996,0.0364165,0.445914,0.607033,0.0,0.0,1,0,0,0,0,0
1972178761,0.298753,-0.0609052,0.935356,0.0,0.880225,0.146353,0.0401843,0.449633,0.599542,0.0,0.0,1,0,0,0,0,0
1972277632,0.303041,-0.0523409,0.944668,0.0,0.878208,0.146138,0.0456143,0.453116,0.593946,0.0,0.0,1,0,0,0,0,0
1972400878,0.303081,-0.0410864,0.953937,0.0,0.876601,0.143406,0.0512499,0.456486,0.584147,0.0,0.0,1,0,0,0,0,0
1972496959,0.303281,-0.0325756,0.963153,0.0,0.87484,0.141319,0.0556892,0.459981,0.583372,0.0,0.0,1,0,0,0,0,0
1972593793,0.293662,-0.0254747,0.972289,0.0,0.873686,0.13523,0.0572105,0.463803,0.580016,0.0,0.0,1,0,0,0,0,0
1972710637,0.259731,-0.0199152,0.980078,0.0,0.874234,0.118902,0.0522362,0.467812,0.56372,0.0,0.0,1,0,0,0,0,0
1972807415,0.246367,-0.017125,0.983897,0.0,0.874206,0.112311,0.0505459,0.469675,0.534452,0.0,0.0,1,0,0,0,0,0
1972902843,0.25287,-0.0137222,0.993124,0.0,0.871775,0.114109,0.0540883,0.473352,0.516441,0.0,0.0,1,0,0,0,0,0
1973000230,0.253554,-0.0101141,0.996981,0.0,0.87094,0.113448,0.0560431,0.474819,0.512986,0.0,0.0,1,0,0,0,0,0
1973121048,0.250443,-0.00824484,1.00631,0.0,0.868952,0.111387,0.056639,0.478861,0.508507,0.0,0.0,1,0,0,0,0,0
1973217133,0.250784,-0.00745597,1.0102,0.0,0.868023,0.111236,0.0572806,0.480501,0.524523,0.0,0.0,1,0,0,0,0,0
1973313804,0.236016,-0.00673365,1.0197,0.0,0.866549,0.104392,0.0545413,0.484995,0.523849,0.0,0.0,1,0,0,0,0,0
1973433863,0.216733,-0.00641221,1.02393,0.0,0.866495,0.095848,0.0502051,0.487319,0.516014,0.0,0.0,1,0,0,0,0,0
1973530663,0.204735,-0.00695291,1.02876,0.0,0.865861,0.0906663,0.0472653,0.489726,0.516173,0.0,0.0,1,0,0,0,0,0
1973626899,0.198552,-0.00881561,1.03304,0.0,0.865037,0.0883482,0.0451333,0.491801,0.521491,0.0,0.0,1,0,0,0,0,0
1973724202,0.198337,-0.010633,1.03901,0.0,0.863526,0.0885687,0.0445585,0.494462,0.519564,0.0,0.0,1,0,0,0,0,0
1973820489,0.202284,-0.00998543,1.05002,0.0,0.860634,0.0898595,0.0463093,0.49909,0.521172,0.0,0.0,1,0,0,0,0,0
1973941578,0.195803,-0.00696573,1.05531,0.0,0.859677,0.0861956,0.0462204,0.501388,0.513683,0.0,0.0,1,0,0,0,0,0
1974037256,0.191539,-0.00177087,1.05533,0.0,0.859982,0.0830607,0.0473866,0.501284,0.514061,0.0,0.0,1,0,0,0,0,0
1974133906,0.183788,0.00419807,1.0609,0.0,0.859037,0.078097,0.0482285,0.503618,0.50376,0.0,0.0,1,0,0,0,0,0
1974230048,0.177565,0.00953003,1.06686,0.0,0.857882,0.0739331,0.0491719,0.506116,0.490093,0.0,0.0,1,0,0,0,0,0
1974346828,0.174469,0.0158841,1.07287,0.0,0.856594,0.0708401,0.0513259,0.508521,0.474468,0.0,0.0,1,0,0,0,0,0
1974442610,0.166186,0.0202361,1.07324,0.0,0.856863,0.0661732,0.0510946,0.508721,0.463882,0.0,0.0,1,0,0,0,0,0
1974535537,0.162671,0.0222322,1.07962,0.0,0.855381,0.0639943,0.0512593,0.511468,0.452826,0.0,0.0,1,0,0,0,0,0
1974632166,0.159849,0.0217331,1.0862,0.0,0.853775,0.0627496,0.0505312,0.514371,0.444609,0.0,0.0,1,0,0,0,0,0
1974753171,0.149939,0.016962,1.09175,0.0,0.852571,0.0596215,0.0461119,0.517147,0.446375,0.0,0.0,1,0,0,0,0,0
1974845786,0.138118,0.00974248,1.09094,0.0,0.85301,0.0564685,0.0399547,0.51729,0.455185,0.0,0.0,1,0,0,0,0,0
1974941766,0.130651,-0.00317171,1.09089,0.0,0.853018,0.0566275,0.0325137,0.517781,0.466623,0.0,0.0,1,0,0,0,0,0
1975038666,0.123854,-0.0208682,1.09652,0.0,0.851414,0.0582416,0.0233665,0.520726,0.484563,0.0,0.0,1,0,0,0,0,0
1975158520,0.121474,-0.041842,1.10126,0.0,0.849773,0.0626421,0.013958,0.523227,0.504281,0.0,0.0,1,0,0,0,0,0
1975255275,0.106885,-0.057415,1.09369,0.0,0.851802,0.0605129,0.00328232,0.520346,0.509538,0.0,0.0,1,0,0,0,0,0
1975351492,0.104259,-0.0732712,1.09795,0.0,0.850334,0.0635064,-0.00403166,0.522381,0.51273,0.0,0.0,1,0,0,0,0,0
1975444160,0.10405,-0.0910485,1.09623,0.0,0.850236,0.0680193,-0.0117203,0.521857,0.521573,0.0,0.0,1,0,0,0,0,0
1975565226,0.105094,-0.112061,1.09461,0.0,0.849883,0.0738823,-0.0204657,0.521365,0.533197,0.0,0.0,1,0,0,0,0,0
1975661779,0.256244,-0.124825,2.09159,0.0,0.489243,0.117446,0.0793429,0.860554,0.537438,0.0,0.0,1,0,0,0,0,0
1975757564,0.406792,-0.132668,2.09159,0.0,0.478217,0.157197,0.141869,0.852332,0.550261,0.0,0.0,1,0,0,0,0,0
1975854564,0.515688,-0.142472,2.09159,0.0,0.467711,0.187038,0.1856,0.843692,0.56687,0.0,0.0,1,0,0,0,0,0
1975974912,0.520727,-0.144698,2.09159,0.0,0.466953,0.189134,0.187169,0.843298,0.580473,0.0,0.0,1,0,0,0,0,0
