timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1821682094,26.5923,29.53,101006.0,1.20012
1821692143,26.3413,29.53,101009.0,1.20015
1821712468,26.5104,29.54,101007.0,1.20013
1821722519,26.3413,29.54,101009.0,1.20015
1821732765,26.7588,29.54,101004.0,1.20009
1821752861,26.5104,29.54,101007.0,1.20013
1821762910,26.4258,29.54,101008.0,1.20014
1821772963,26.4258,29.54,101008.0,1.20014
1821793187,26.3413,29.54,101009.0,1.20015
1821803237,26.5104,29.54,101007.0,1.20013
1821813320,26.1748,29.54,101011.0,1.20018
1821833555,26.2594,29.54,101010.0,1.20017
1821843606,26.4258,29.54,101008.0,1.20014
1821853661,26.5923,29.54,101006.0,1.20012
1821873770,26.1748,29.54,101011.0,1.20018
1821883943,26.2594,29.54,101010.0,1.20017
1821893995,26.0084,29.54,101013.0,1.2002
1821914092,26.0929,29.54,101012.0,1.20019
1821924159,26.3413,29.54,101009.0,1.20015
1821934343,26.5923,29.54,101006.0,1.20012
1821954436,26.5923,29.53,101006.0,1.20012
1821964487,26.7588,29.53,101004.0,1.20009
1821974539,26.7588,29.53,101004.0,1.20009
1821994783,26.5923,29.54,101006.0,1.20012
1822004832,26.2594,29.54,101010.0,1.20017
1822014881,26.0929,29.54,101012.0,1.20019
1822035139,26.3413,29.54,101009.0,1.20015
1822045189,26.8433,29.54,101003.0,1.20008
1822055295,26.5923,29.54,101006.0,1.20012
1822075622,27.0098,29.53,101001.0,1.20006
1822085680,26.8433,29.53,101003.0,1.20008
1822095728,26.5104,29.53,101007.0,1.20013
1822116003,26.1748,29.54,101011.0,1.20018
1822126051,26.6769,29.54,101005.0,1.20011
1822136102,26.6769,29.54,101005.0,1.20011
1822156415,26.4258,29.54,101008.0,1.20014
1822166478,26.3413,29.54,101009.0,1.20015
1822176575,26.5923,29.54,101006.0,1.20012
1822196787,26.5923,29.54,101006.0,1.20012
1822206848,26.7588,29.54,101004.0,1.20009
1822216930,26.6769,29.54,101005.0,1.20011
1822237167,26.7588,29.53,101004.0,1.20009
1822247222,27.0098,29.53,101001.0,1.20006
1822257321,27.0917,29.53,101000.0,1.20005
1822277537,26.5104,29.54,101007.0,1.20013
1822287595,26.6769,29.54,101005.0,1.20011
1822297639,27.3427,29.54,100997.0,1.20001
1822317732,26.8433,29.53,101003.0,1.20008
1822327905,26.7588,29.53,101004.0,1.20009
1822337955,26.5104,29.53,101007.0,1.20013
1822358051,26.5923,29.54,101006.0,1.20012
1822368103,26.8433,29.54,101003.0,1.20008
1822378347,26.8433,29.54,101003.0,1.20008
1822398447,26.8433,29.54,101003.0,1.20008
1822408495,26.6769,29.54,101005.0,1.20011
1822418545,27.0917,29.54,101000.0,1.20005
1822438844,26.7588,29.54,101004.0,1.20009
1822448930,27.0098,29.54,101001.0,1.20006
1822459107,26.6769,29.54,101005.0,1.20011
1822479210,26.5923,29.54,101006.0,1.20012
1822489264,27.0098,29.54,101001.0,1.20006
1822499324,26.7588,29.54,101004.0,1.20009
1822519695,26.3413,29.54,101009.0,1.20015
1822529766,26.2594,29.54,101010.0,1.20017
1822539916,27.0917,29.54,101000.0,1.20005
1822560066,27.2608,29.54,100998.0,1.20002
1822570129,26.3413,29.54,101009.0,1.20015
1822580228,26.4258,29.54,101008.0,1.20014
1822600465,26.6769,29.54,101005.0,1.20011
1822610515,26.6769,29.54,101005.0,1.20011
1822620743,27.0098,29.54,101001.0,1.20006
1822640843,26.8433,29.54,101003.0,1.20008
1822650894,26.5923,29.54,101006.0,1.20012
1822660952,26.6769,29.54,101005.0,1.20011
1822681337,26.0084,29.54,101013.0,1.2002
1822691437,27.0917,29.54,101000.0,1.20005
1822701558,26.6769,29.54,101005.0,1.20011
1822721653,26.5104,29.54,101007.0,1.20013
