timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1998982142,-0.133769,0.0245976,0.286939,0.0748444,-0.00387192,-0.731522,0.128273,-0.182277,-0.804464,1.27888,0.334675,0.0120072,0.0,0.0,0.185501,0.26722,0.266955,0.149935,0.411744,0.412865,4.04585,0.00251763,0.00251761,0.00251614,0.0901403,1.91801,0.30022,0.0,0.0,0.601977,0.000368384,0.0145442,0.0248919,0.0,0.0,0.0,0.0,0.0,0.0
1999186945,0.0776987,-0.0207486,0.0674157,0.0614319,-0.0213737,0.0430298,0.0809718,-0.261433,-0.764185,1.27888,0.73253,0.0426251,0.0,0.0,0.185501,0.26672,0.266595,0.149768,0.415667,0.416499,4.04607,0.00251772,0.00251794,0.00251585,0.0901403,1.91685,0.300241,0.0,0.0,0.601977,0.000309691,0.023367,0.056444,0.0,0.0,0.0,0.0,0.0,0.0
1999388545,0.0175824,0.194757,0.0261248,0.03508,0.00158691,-0.527548,0.0320248,-0.272815,-0.692718,1.27888,-0.559213,0.0057284,0.0,0.0,0.185501,0.266304,0.266315,0.14973,0.417036,0.417625,4.04601,0.0025178,0.00251819,0.00251557,0.0901403,1.91705,0.300246,0.0,0.0,0.601977,0.000401761,0.0131602,0.0323792,0.0,0.0,0.0,0.0,0.0,0.0
1999588542,-0.106073,0.127686,0.0739198,0.0186462,0.00743484,-0.614063,-0.00398889,-0.296155,-0.683202,1.27888,-0.934576,-0.00617117,0.0,0.0,0.185501,0.265857,0.265932,0.149613,0.418503,0.418902,4.04582,0.00251786,0.00251848,0.00251538,0.0901403,1.91677,0.300245,0.0,0.0,0.601977,0.000342927,0.0132496,0.0363411,0.0,0.0,0.0,0.0,0.0,0.0
1999786147,-0.130459,-0.0369287,0.0497268,-0.00419617,-0.03265,0.565451,0.00643685,-0.278713,-0.703928,1.27888,0.0586805,0.01587,0.0,0.0,0.185501,0.265812,0.265853,0.149613,0.421144,0.4214,4.04576,0.00251783,0.00251871,0.00251542,0.0901403,1.91639,0.30024,0.0,0.0,0.601977,0.000240659,0.0131276,0.0345219,0.0,0.0,0.0,0.0,0.0,0.0
1999987742,-0.123429,0.164631,0.114446,-0.0387573,0.00463867,-1.05697,0.0339315,-0.280118,-0.713062,1.27888,0.556788,0.0480793,0.0,0.0,0.185501,0.265162,0.265284,0.14952,0.422392,0.422541,4.04559,0.0025178,0.00251901,0.00251546,0.0901403,1.91563,0.300253,0.0,0.0,0.601977,0.000312865,0.0103757,0.0257686,0.0,0.0,0.0,0.0,0.0,0.0
2000195742,-0.00254631,0.232296,0.143533,-0.0388489,-0.00542831,-0.451332,-0.0148006,-0.230365,-0.728726,1.27888,0.759116,0.096919,0.0,0.0,0.185501,0.265193,0.265314,0.149522,0.425017,0.425091,4.04581,0.00251798,0.00251927,0.00251552,0.0901403,1.91559,0.300246,0.0,0.0,0.601977,0.000523999,0.0152671,0.0407226,0.0,0.0,0.0,0.0,0.0,0.0
2000397342,-0.21759,-0.0520136,0.116869,-0.0559692,-0.0269279,0.0204048,0.0147556,-0.394567,-0.724383,1.27888,1.78486,0.0847276,0.0,0.0,0.185501,0.265353,0.265523,0.149518,0.427693,0.42772,4.04584,0.00251792,0.00252003,0.00251518,0.0901403,1.91621,0.300232,0.0,0.0,0.601977,0.000228028,0.0173753,0.0461611,0.0,0.0,0.0,0.0,0.0,0.0
2000598320,-0.103415,0.2376,0.128084,-0.196991,0.0498276,0.0182686,0.00921178,-0.266732,-0.694949,1.27888,1.33428,0.130126,0.0,0.0,0.185501,0.265214,0.265232,0.149523,0.426673,0.42666,4.0459,0.00251773,0.00252027,0.00251563,0.0901403,1.91497,0.300244,0.0,0.0,0.601977,0.000426137,0.0164226,0.0441798,0.0,0.0,0.0,0.0,0.0,0.0
2000803743,0.0441265,0.206392,-0.0655786,-0.276382,0.101421,-0.225302,-0.0132633,-0.377595,-0.677857,1.27888,0.54055,0.0453018,0.0,0.0,0.185501,0.26472,0.264888,0.149441,0.424328,0.424297,4.04595,0.00251748,0.00252123,0.00251547,0.0901403,1.91511,0.300224,0.0,0.0,0.601977,0.000459619,0.0117555,0.0349166,0.0,0.0,0.0,0.0,0.0,0.0
2001004742,0.276504,0.311678,0.0619973,-0.280823,0.0932045,-0.761375,0.10609,-0.294643,-0.857945,1.27888,0.337994,0.12119,0.0,0.0,0.185501,0.265178,0.265026,0.149549,0.423198,0.423142,4.04588,0.00251724,0.00252144,0.00251595,0.0901403,1.91533,0.300224,0.0,0.0,0.601977,0.000640038,0.0115169,0.0399738,0.0,0.0,0.0,0.0,0.0,0.0
