timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
1975052542,-3.65773,3.22202,0.00468213,0.0233414,-1.71027,1.9376,0.0,-0.0118812,0.300467
1975253363,-3.68591,3.15035,0.00461011,0.0227282,-1.44114,1.9369,0.0,0.0358409,0.300472
1975458144,-3.70959,3.08865,0.00453877,0.0220682,-0.546133,1.93801,0.0,0.044692,0.300486
1975659769,-3.71371,3.07798,0.00448198,0.0214902,-0.208748,1.93716,0.0,0.107191,0.300491
1975860542,-3.72026,3.06138,0.00442975,0.0209444,-0.0609198,1.93585,0.0,0.136018,0.300486
1976061342,-3.72572,3.04725,0.00438258,0.020416,-0.800604,1.93563,0.0,0.111737,0.300467
1976270942,-3.73996,3.00508,0.00432283,0.0197116,-0.964911,1.93624,0.0,0.152973,0.300422
1976467748,-3.7512,2.97152,0.00429219,0.0191459,-0.304777,1.9349,0.0,0.180886,0.300393
1976676542,-3.74752,2.98554,0.00426893,0.0185585,0.56275,1.93478,0.0,0.220787,0.300376
1976878147,-3.74059,3.01169,0.00424726,0.0179187,-0.0341215,1.93251,0.0,0.228014,0.300331
1977078942,-3.74559,2.9886,0.00423969,0.0172859,-0.497813,1.93415,0.0,0.273476,0.300361
1977275742,-3.75038,2.95853,0.00424151,0.0165958,-1.1069,1.93724,0.0,0.307837,0.300314
1977484577,-3.76117,2.85464,0.0042519,0.015888,-2.32525,1.93857,0.0,0.300301,0.300343
1977685342,-3.77181,2.74626,0.00426611,0.0152214,-2.23985,1.93846,0.0,0.238461,0.30033
1977882942,-3.78347,2.61656,0.0042817,0.0145311,-2.26899,1.93699,0.0,0.468508,0.300384
1978083742,-3.78688,2.54674,0.00430069,0.0139779,-1.102,1.94153,0.0,0.47409,0.30035
1978284542,-3.78817,2.51301,0.00432293,0.0133601,-0.174084,1.93767,0.0,0.42916,0.30031
1978493342,-3.78888,2.54663,0.004347,0.0128362,1.76555,1.93826,0.0,0.315635,0.30022
1978694942,-3.7964,2.66085,0.00436884,0.0123544,2.9968,1.94062,0.0,0.323108,0.300219
1978899742,-3.81319,2.77466,0.00438776,0.0118965,2.22397,1.94111,0.0,0.355535,0.30021
1979101342,-3.82773,2.85106,0.00440396,0.0115168,3.44391,1.94048,0.0,0.296109,0.300187
1979302142,-3.83137,2.86257,0.00442835,0.0113917,6.80984,1.94218,0.0,0.193319,0.300145
1979502942,-3.83193,2.85797,0.00445397,0.0113138,6.74321,1.94449,0.0,0.208958,0.300128
1979708542,-3.83225,2.85504,0.00448019,0.0112586,4.68371,1.94568,0.0,0.0997717,0.30011
1979909342,-3.86099,2.90237,0.00448327,0.0111574,4.17244,1.94359,0.0,0.164594,0.300088
1980114158,-3.86125,2.90004,0.00451015,0.0111334,6.28018,1.9433,0.0,0.197581,0.300102
1980315742,-3.86138,2.89902,0.00453463,0.0111191,6.75732,1.94133,0.0,0.155327,0.300097
1980516568,-3.86155,2.89687,0.00455963,0.0111142,6.76212,1.93988,0.0,0.0906497,0.300089
1980717342,-3.86149,2.89746,0.00458405,0.011116,6.13032,1.93939,0.0,0.033713,0.300093
